county,max_temp,anomaly,rank,mean,month,state,total_workers_h2a
Dunn,82.3,0.5,64,81.8,August,North Dakota,41
Eddy,77.9,-2.3,44,80.2,August,North Dakota,27
Emmons,79.4,-3.4,30,82.8,August,North Dakota,73
Foster,77.8,-2.7,34,80.5,August,North Dakota,79
Grand Forks,79.1,-1.4,53,80.5,August,North Dakota,170
Grant,81.6,-1.4,49,83,August,North Dakota,15
Griggs,77.5,-2.9,33,80.4,August,North Dakota,10
Hettinger,81.6,-0.8,51,82.4,August,North Dakota,30
Kidder,77.8,-2.8,38,80.6,August,North Dakota,64
LaMoure,79,-2.3,39,81.3,August,North Dakota,57
Logan,78.4,-2.9,33,81.3,August,North Dakota,43
McHenry,80.8,0.2,72,80.6,August,North Dakota,76
McIntosh,78.1,-3.4,28,81.5,August,North Dakota,60
McKenzie,83,0.9,69,82.1,August,North Dakota,25
McLean,80.5,-0.3,60,80.8,August,North Dakota,187
Mercer,81.4,-0.5,58,81.9,August,North Dakota,46
Morton,80.3,-2,42,82.3,August,North Dakota,119
Mountrail,80.5,0.6,66,79.9,August,North Dakota,105
Nelson,77.5,-1.9,47,79.4,August,North Dakota,80
Oliver,80.1,-1.5,49,81.6,August,North Dakota,16
Pembina,78.9,0.2,65,78.7,August,North Dakota,203
Pierce,79.8,0.2,68,79.6,August,North Dakota,17
Ramsey,78,-1.5,53,79.5,August,North Dakota,139
Ransom,80.7,-0.8,59,81.5,August,North Dakota,24
Renville,79.7,-0.2,61,79.9,August,North Dakota,44
Richland,81.6,0.1,72,81.5,August,North Dakota,89
Rolette,78.1,0.8,74,77.3,August,North Dakota,28
Sargent,80.6,-1.1,57,81.7,August,North Dakota,116
Sheridan,78.2,-1.9,43,80.1,August,North Dakota,23
Sioux,81.3,-2.1,40,83.4,August,North Dakota,6
Slope,82.8,-0.3,58,83.1,August,North Dakota,23
Stark,81.4,-0.8,54,82.2,August,North Dakota,46
Steele,77.1,-3.7,24,80.8,August,North Dakota,62
Stutsman,78.2,-2.4,39,80.6,August,North Dakota,74
Towner,78.8,0.7,76,78.1,August,North Dakota,35
Traill,78.5,-2.9,31,81.4,August,North Dakota,71
Walsh,78.6,-0.4,62,79,August,North Dakota,257
Ward,80,-0.2,61,80.2,August,North Dakota,178
Wells,77.5,-2.8,37,80.3,August,North Dakota,113
Williams,82.3,1.6,85,80.7,August,North Dakota,110
Bon Homme,86.1,0.6,81,85.5,August,North Dakota,5
Grant,82.6,1.6,97,81,August,North Dakota,15
Marshall,80.2,-0.3,63,80.5,August,North Dakota,2
Sheridan,79.6,0.2,65,79.4,August,North Dakota,23
Douglas,82.6,0.5,71,82.1,July,South Dakota,24
Jackson,74.7,1.7,91,73,July,South Dakota,2
Lake,72.8,5.4,126,67.4,July,South Dakota,24
Lincoln,88.6,0.6,70,88,July,South Dakota,12
Lake,84.4,5.1,119,79.3,July,South Dakota,24
Lincoln,81.4,4.9,117,76.5,July,South Dakota,12
Grant,81.6,-3,30,84.6,July,South Dakota,51
Aurora,84.3,-3.3,23,87.6,July,South Dakota,15
Beadle,83.9,-3,29,86.9,July,South Dakota,80
Bennett,85.4,-1.8,40,87.2,July,South Dakota,7
Bon Homme,84.4,-3.7,21,88.1,July,South Dakota,9
Brookings,80.8,-2.7,31,83.5,July,South Dakota,135
Brown,82.4,-2.1,39,84.5,July,South Dakota,80
Brule,84.8,-3.4,22,88.2,July,South Dakota,18
Campbell,81.2,-4.1,16,85.3,July,South Dakota,11
Charles Mix,85.4,-3.5,20,88.9,July,South Dakota,154
Clark,81.7,-2.1,44,83.8,July,South Dakota,18
Clay,83.5,-3.9,16,87.4,July,South Dakota,1
Codington,80.8,-1.4,52,82.2,July,South Dakota,10
Corson,83.4,-2.4,32,85.8,July,South Dakota,63
Davison,84.4,-3.6,21,88,July,South Dakota,45
