Year,StateAbbr,state,county,Category,Measure,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,MeasureId,Short_Question_Text,Geolocation
2022,CO,Colorado,Alamosa,Prevention,Current lack of health insurance among adults aged 18-64 years,Age-adjusted prevalence,18,16.3,19.9,16592,12572,8003,ACCESS2,Health Insurance,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Prevention,Colorectal cancer screening among adults aged 45–75 years,Age-adjusted prevalence,52.6,47.2,57.7,16592,12572,8003,COLON_SCREEN,Colorectal Cancer Screening,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Hearing disability among adults,Crude prevalence,6.7,5.9,7.5,16592,12572,8003,HEARING,Hearing Disability,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Status,Frequent physical distress among adults,Age-adjusted prevalence,15,13.4,16.8,16592,12572,8003,PHLTH,Frequent Physical Distress,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Coronary heart disease among adults,Age-adjusted prevalence,5.8,5.2,6.5,16592,12572,8003,CHD,Coronary Heart Disease,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Any disability among adults,Age-adjusted prevalence,31.7,27.5,36,16592,12572,8003,DISABILITY,Any Disability,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,11.8,9.4,14.5,16592,12572,8003,TEETHLOST,All Teeth Lost,POINT (-105.78848300659 37.5728638541496)
2021,CO,Colorado,Alamosa,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted prevalence,53.8,48.6,58.9,16592,12572,8003,BPMED,High Blood Pressure Medication,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Mobility disability among adults,Crude prevalence,13,11.4,14.6,16592,12572,8003,MOBILITY,Mobility Disability,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Cognitive disability among adults,Crude prevalence,17.7,15.9,19.6,16592,12572,8003,COGNITION,Cognitive Disability,POINT (-105.78848300659 37.5728638541496)
2021,CO,Colorado,Alamosa,Prevention,Cholesterol screening among adults,Age-adjusted prevalence,77.2,73.9,80.4,16592,12572,8003,CHOLSCREEN,Cholesterol Screening,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Depression among adults,Age-adjusted prevalence,24.1,20.4,27.9,16592,12572,8003,DEPRESSION,Depression,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,69.1,60.3,77.4,16592,12572,8003,MAMMOUSE,Mammography,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,All teeth lost among adults aged >=65 years,Age-adjusted prevalence,12,9.6,14.7,16592,12572,8003,TEETHLOST,All Teeth Lost,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,15.6,14,17.1,16592,12572,8003,ACCESS2,Health Insurance,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Risk Behaviors,Binge drinking among adults,Age-adjusted prevalence,18.9,15.3,22.8,16592,12572,8003,BINGE,Binge Drinking,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Risk Behaviors,Current cigarette smoking among adults,Age-adjusted prevalence,16.6,14.5,18.8,16592,12572,8003,CSMOKING,Current Cigarette Smoking,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Independent living disability among adults,Crude prevalence,9.4,8.5,10.4,16592,12572,8003,INDEPLIVE,Independent Living Disability,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Risk Behaviors,Short sleep duration among adults,Age-adjusted prevalence,34.1,27.4,41,16592,12572,8003,SLEEP,Short Sleep Duration,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Cancer (non-skin) or melanoma among adults,Crude prevalence,6.7,6,7.4,16592,12572,8003,CANCER,Cancer (non-skin) or Melanoma,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Prevention,Colorectal cancer screening among adults aged 45–75 years,Crude prevalence,58.4,52.9,63.6,16592,12572,8003,COLON_SCREEN,Colorectal Cancer Screening,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Vision disability among adults,Crude prevalence,6.9,6.3,7.5,16592,12572,8003,VISION,Vision Disability,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Status,Fair or poor self-rated health status among adults,Age-adjusted prevalence,21.2,18.9,23.5,16592,12572,8003,GHLTH,General Health,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Diagnosed diabetes among adults,Crude prevalence,10.4,9,11.9,16592,12572,8003,DIABETES,Diabetes,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Coronary heart disease among adults,Crude prevalence,5.9,5.3,6.6,16592,12572,8003,CHD,Coronary Heart Disease,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Mobility disability among adults,Age-adjusted prevalence,13.4,11.7,15,16592,12572,8003,MOBILITY,Mobility Disability,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Arthritis among adults,Age-adjusted prevalence,24.4,21.1,27.8,16592,12572,8003,ARTHRITIS,Arthritis,POINT (-105.78848300659 37.5728638541496)
2021,CO,Colorado,Alamosa,Health Outcomes,High cholesterol among adults who have ever been screened,Age-adjusted prevalence,28.5,24.1,33.1,16592,12572,8003,HIGHCHOL,High Cholesterol,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Obesity among adults,Crude prevalence,30.2,23.4,37.6,16592,12572,8003,OBESITY,Obesity,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Risk Behaviors,Short sleep duration among adults,Crude prevalence,32.9,26.4,39.8,16592,12572,8003,SLEEP,Short Sleep Duration,POINT (-105.78848300659 37.5728638541496)
2021,CO,Colorado,Alamosa,Prevention,Cholesterol screening among adults,Crude prevalence,75,71.7,78.3,16592,12572,8003,CHOLSCREEN,Cholesterol Screening,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Prevention,Mammography use among women aged 50-74 years,Age-adjusted prevalence,68.1,59.1,76.6,16592,12572,8003,MAMMOUSE,Mammography,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Status,Frequent physical distress among adults,Crude prevalence,14.5,12.8,16.1,16592,12572,8003,PHLTH,Frequent Physical Distress,POINT (-105.78848300659 37.5728638541496)
